nombre,frec,edad_media
MARIA GUADAL,126,48.8
SARAHI,126,29.38
DIANA PATRICIA,125,35.41
MELINA,125,32.06
ROMELIA,125,43.5
ROSA ELVIRA,125,43.35
ANA LIDIA,124,38.23
VICTORINA,124,46.39
ANAYELI,123,27.51
MA LETICIA,123,48.23
MARIA DEL C,123,45.19
MARTHA OLIVIA,123,45.05
ANA GUADALUPE,122,37.25
EUSTOLIA,122,47.86
MIRIAM GUADALUPE,122,32.95
NINFA,122,46.47
ROSA ELVA,122,46.42
IRMA GUADALUPE,121,44.15
LINA,121,45.82
MARIA ADRIANA,121,42.54
MARIA LILIA,121,47.47
MARTHA GABRIELA,121,37.42
CIRILA,120,45.56
ERICKA,120,33.84
NORMA ELIZABETH,120,38.16
VELIA,120,45.34
YENI,120,32.37
INOCENCIA,119,47.42
MARISSA,119,35.08
BARBARA,118,43.58
MARICARMEN,118,33.66
ANGELES,117,39.3
BLANCA PATRICIA,117,40.11
DIANA GUADALUPE,117,34.18
LEONILA,117,45.63
MARTHA ISABEL,117,41.52
MELISSA,117,27.9
ALONDRA,116,28.53
CLEOTILDE,116,47.12
DAMARIS,116,34.5
EUSEBIA,116,45.49
MARIA OFELIA,116,47.05
ROSA ICELA,116,44.61
LILIAN,115,38.29
MARTHA LILIA,115,44.2
AUREA,113,45.16
CANDIDA,113,44.69
NANCY GUADALUPE,113,33.42
ROSA MA,113,48.97
LUZ ANGELICA,112,38.8
MA. SOLEDAD,112,47.48
MARIA TERESA DE JESUS,112,47.04
MAXIMINA,112,44.79
MIRELLA,112,43.35
BELINDA,111,40.4
EDNA,111,38.67
ELIZABET,111,43.13
ENEIDA,111,38.6
LAURA ELIZABETH,110,36.19
MA DEL PILAR,110,46.23
MARTHA SILVIA,110,47.65
NORA HILDA,110,43.05
KARLA GUADALUPE,109,29.64
MA. CRISTINA,109,44.72
MARIA DE,109,46.66
MARIA GUILLERMINA,109,46.41
SAN JUANA,109,44.77
AGUEDA,108,44.78
BERNARDINA,108,45.46
FIDELIA,108,44.26
IVETTE,108,33.59
REYNA ISABEL,108,38.93
ALTAGRACIA,107,47.79
BALBINA,107,45.01
CINTHYA,107,30.09
CIRA,107,46.06
CLAUDIA GABRIELA,107,36.39
GLORIA GUADALUPE,107,39.78
MA. DEL REFUGIO,107,46.53
MARIA OLIVIA,107,46.81
OLGA LILIA,107,41.2
PASCUALA,107,43.83
ANASTACIA,106,44.95
LEONARDA,106,45.84
MARTHA IMELDA,106,47.45
ANA BEATRIZ,105,36.67
MARIA REFUGIO,105,48.89
CLAUDIA ALEJANDRA,104,34.88
MARIA DEL RAYO,104,40.89
MARTHA YOLANDA,104,44.93
ALEIDA,103,37.98
ANA ELIZABETH,103,35.3
ANA MARGARITA,103,39.73
ANABELL,103,39.81
GABRIELA GUADALUPE,103,33.63
JOAQUINA,103,45.5
MARIA DE LO,103,44.69
MARIA ELVIA,103,47.92
PETRONA,103,43.5
ANA DELIA,102,39.65
ANA LETICIA,102,40.29
DORIS,102,40.25
ELSA MARIA,102,43.37
LYDIA,102,47.41
RUBICELIA,102,40.28
CLAUDIA MARIA,101,36.87
ERIKA GUADALUPE,101,31.81
KARLA PATRICIA,101,30.46
MA SOCORRO,101,50.03
MAYTE,101,36.12
ALMA LILIA,100,41.76
CINTHIA,100,30.23
MA ANTONIA,100,48.43
MARIA CAROLINA,100,40.84
MARIA ELVIRA,100,46.32
MONTSERRAT,100,28.96
VERONICA GUADALUPE,100,36.94
ALBINA,99,44.22
MARTHA ELBA,99,47.11
MAYELA,99,40.24
NORMA ELENA,99,41.44
PATRICIA DEL CARMEN,99,39.58
ALMA ANGELICA,98,40.39
DEYSI,98,33.11
MA TRINIDAD,98,48.83
PALOMA,98,29.71
ROSA IMELDA,98,43.65
BRISEIDA,97,34.34
CLARA LUZ,97,44.27
IRMA PATRICIA,97,44.07
MARIA EVA,97,50.02
AIDA ARACELI,96,47.12
INDIRA,96,32.39
MA ROSARIO,96,49.88
MA SOLEDAD,96,47.74
MARIA DE L,96,47.33
ROSA LINDA,96,42.84
VALERIA,96,33.18
MARIA HILDA,95,49.46
NELY,95,37.08
ROSA AURORA,95,45.74
SILVIA MARGARITA,95,44.66
ADRIANA ELIZABETH,94,35.65
ANA ALICIA,94,42.32
GLORIA ELENA,94,41.9
MA. DEL PILAR,94,46.15
OLIMPIA,94,41.81
ROSA AMELIA,94,46.59
BLANCA AZUCENA,93,33.53
CLAUDIA ISABEL,93,34.87
CLAUDIA IVETTE,93,29.95
GLORIA ALICIA,93,45.12
JAQUELINA,93,39.46
LAURA ISABEL,93,38.57
LUZ,93,47.77
MARIA IMELDA,93,45.29
PIEDAD,93,47.31
PORFIRIA,93,48.26
ZAIRA,93,31.77
BEATRIZ ELENA,92,41.45
BRENDA GUADALUPE,92,30.13
JACINTA,92,45.37
MA ANGELICA,92,44.87
MARIA AMPARO,92,47.36
MARTHA ELIZABETH,92,40.92
ROSA ALICIA,92,44.85
SILVIA ELENA,92,45.13
CAMELIA,91,41.78
CARMEN ALICIA,91,42.34
CLAUDIA ANGELICA,91,36.73
CLAUDIA LORENA,91,36.75
DIANA MARIA,91,35.42
LETICIA GUADALUPE,91,43.59
MARIA RAQUEL,91,45.11
EUFEMIA,90,45.42
GABINA,90,46.14
MARIA DE GUADALUPE,90,42.33
MARIA GRISELDA,90,44.47
ROSA ISABEL,90,40.44
MARIA ANDREA,89,43.49
MARIA BERTHA,89,49.3
ROMANA,89,48.29
AVELINA,88,47.4
CARITINA,88,47.1
EFIGENIA,88,48.09
JUANA ISABEL,88,40.24
KARINA GUADALUPE,88,30.4
MARIA GUADA,88,48.35
MARIA NORMA,88,46.51
MARTHA LORENA,88,40.71
NIEVES,88,46.28
OLGA LETICIA,88,44.51
TEOFILA,88,46.9
ZULEMA,88,37.48
ANA ELENA,87,40.68
CLEMENCIA,87,45.07
JUANA GUADALUPE,87,41.08
MARIA GEORGINA,87,44.1
MARIA LIDIA,87,47.23
MIROSLAVA,87,39.61
ROSA NELLY,87,41.14
XOCHILT,87,38.75
ANA CELIA,86,39.86
APOLONIA,86,45.52
CARMEN GUADALUPE,86,37.74
CECILIA GUADALUPE,86,36.42
CLAUDIA LETICIA,86,36.53
DEISY,86,32.24
OLGA PATRICIA,86,40.7
ROSANA,86,41.03
VIANNEY,86,32.83
ARTEMISA,85,41.24
ELEUTERIA,85,46.16
FATIMA DEL ROSARIO,85,33.61
ILEANA,85,36.69
LILIANA GUADALUPE,85,32.71
MARIA CELIA,85,47.14
MARIA DEL CARME,85,47.01
MARIA JULIA,85,41.68
MARIA SALOME,85,44.24
MARTHA ARACELI,85,41
MIRIAN,85,36.58
REYNA MARIA,85,40.14
CLAUDIA MARGARITA,84,37.08
LORENA GUADALUPE,84,37.95
OSIRIS,84,32.94
ROSA ELVIA,84,45.2
SAGRARIO,84,38.76
SONIA GUADALUPE,84,40.21
CARMELITA,83,42.65
CELSA,83,46.13
FLORIBERTA,83,41.33
JANETT,83,32.31
MARIA JUDITH,83,44.52
MARIA OLGA,83,48.57
SILVINA,83,44.46
ALMA LORENA,82,40.18
ANTONIETA,82,43.21
BLANCA LETICIA,82,44.73
LAURA CECILIA,82,36.59
LAURA VERONICA,82,35.74
MA MERCEDES,82,48.76
MARIA ERNESTINA,82,48.02
MARIA LEONOR,82,47.63
OLGA MARIA,82,38.72
ROSA IRENE,82,43.74
SANDRA EDITH,82,35.35
ADRIANA PATRICIA,81,38.42
AGRIPINA,81,46.26
GLORIA PATRICIA,81,40.69
LAURA GABRIELA,81,33.78
NORMA ARACELI,81,39.85
REFUGIO,81,48.06
SANDRA LETICIA,81,39.96
YESICA,81,30.42
CARMEN LETICIA,80,45.01
FILOMENA,80,48.69
JANNET,80,32.88
FAUSTINA,79,45.2
FELISA,79,45.19
FILIBERTA,79,47.42
MABEL,79,36.75
MARIA ELIA,79,49.51
NORA ALICIA,79,42.73
PRISCILA,79,34.13
ABRIL,78,30.49
GLORIA LETICIA,78,43.08
HEIDI,78,31.88
JUANA INES,78,41.23
MARIA DE LOS A,78,45.87
MARIA DEL R,78,46.94
MARIA MAYELA,78,45.68
NORMA LILIA,78,41.35
CLAUDIA IVONNE,77,33.47
CORAL,77,32.82
LISBETH,77,34.22
MA. LOURDES,77,47.25
MARIA DEL RO,77,48.43
MAYRA ELIZABETH,77,31.42
ALMA ALICIA,76,43.32
ARIANNA,76,27.93
GABRIELA ALEJANDRA,76,31.04
GLORIA DEL CARMEN,76,44.29
IRMA ALICIA,76,46.37
LUCIANA,76,43.71
MARTHA ALEJANDRA,76,37.76
MARY CRUZ,76,36.79
MONICA GUADALUPE,76,36.59
REYNA GUADALUPE,76,37.2
LAURA EDITH,75,34.84
MARIA DE LOUR,75,46.64
MARIA ELSA,75,46.88
PAMELA,75,28.07
ALMA GABRIELA,74,32.85
ERIKA PATRICIA,74,32.93
HILDA GUADALUPE,74,41.09
ISIDORA,74,45.12
MA JESUS,74,50.01
OLGA ALICIA,74,44.62
SEBASTIANA,74,43.28
CORINA,73,39.23
ELEAZAR,73,45.28
GICELA,73,38.97
MA. LETICIA,73,47.85
VERENICE,73,33.13
YANELI,73,29.82
FIDELA,72,44.56
IRLANDA,72,35.01
JUVENTINA,72,47.14
KATIA,72,35.33
LAURA BEATRIZ,72,42.08
LAURA ESTELA,72,43.88
MA ESTELA,72,50.51
MARTHA IRENE,72,45.9
ROSARIO GUADALUPE,72,37.58
ROSSANA,72,41.81
SANDRA VERONICA,72,37.07
ZORAIDA,72,38.07
ALMA ROCIO,71,37.8
ALMA VERONICA,71,37.44
CELESTINA,71,44.28
ESTRELLA,71,34.94
FELICIANA,71,43.89
JUANA PATRICIA,71,42.33
MA. SOCORRO,71,49.97
MARIA ISELA,71,44.03
MARIA MARCELA,71,45.87
MARIA ROSALBA,71,43.99
MARTHA EDITH,71,41.79
NUBIA,71,34
ALMA LUZ,70,40.97
ANA VICTORIA,70,29.39
ARTEMIA,70,48.34
BLANCA GUADALUPE,70,40.41
BRENDA BERENICE,70,29.39
DIANA GABRIELA,70,30.37
EMA,70,44.91
ESTEFANIA,70,32.1
KARINA ELIZABETH,70,30.76
LORENA DEL CARMEN,70,39.07
MA FELIX,70,47.87
MAIRA,70,36.26
MARIA CLARA,70,46.81
MARIA REBECA,70,46.63
NORBERTA,70,45.34
CONSTANTINA,69,46.62
ENEDELIA,69,43.96
GRISEL,69,31.39
JENNIFER,69,29.99
LAURA ALEJANDRA,69,32.8
LETICIA DEL CARMEN,69,44.01
MA VICTORIA,69,46.1
MARTHA CATALINA,69,49.41
NAYELY,69,28.77
ROSA DELIA,69,43.47
ROSENDA,69,45.29
